City,Country,Population,Area_km2,Continent
Paris,France,2161000,105.4,Europe
Nairobi,Kenya,4397000,696,Asia
Santiago,Chile,5744000,641,South America
Sydney,Australia,5312000,12367,Oceania
Lagos,Nigeria,14862000,1171.3,Africa
Toronto,Canada,2793000,630.2,North America
Tokyo,Japan,13929000,2194,Asia
New York,USA,8468000,783.8,North America
Cairo,Egypt,9900000,528,Asia
Berlin,Germany,3645000,891.8,Europe
Mexico City,Mexico,9209000,1485,North America
Rome,Italy,2873000,1287.4,Europe
Mumbai,India,20185000,603.4,Asia
Cape Town,South Africa,4337000,400.3,Africa
Rio de Janeiro,Brazil,6748000,1182.3,South America
Barcelona,Spain,5586000,101.9,Europe
Delhi,India,16787941,1484,Asia
Chicago,USA,2746388,606.1,North America
Bangkok,Thailand,8281000,1568.7,Asia
Auckland,New Zealand,1680000,1086,Oceania
